state,week,mean,std,trump_mean,clinton_mean,mean_diff,candidate,right_1_total,right_1_ratio,left_1_total,left_1_ratio,right_2std_total,right_2std_ratio,left_2std_total,left_2std_ratio,right_5_total,right_5_ratio,left_5_total,left_5_ratio,right_10_total,right_10_ratio,left_10_total,left_10_ratio
Iowa,15.0,0.4099141273305476,0.5663653734852246,0.6580629465738697,-0.4379398430682071,1.0960027896420768,Trump,1731,0.11533848614072495,88,0.005863539445628998,1284,0.0855543710021322,16,0.0010660980810234541,2063,0.1374600213219616,241,0.016058102345415777,3957,0.263659381663113,425,0.0283182302771855
Iowa,16.0,0.4238976186506764,0.5845125752692523,0.6867041328294375,-0.44338641084979624,1.1300905436792337,Trump,2019,0.1341884886348531,93,0.006181044795959059,1432,0.09517479728831583,15,0.0009969427090256546,2190,0.14555363551774558,266,0.017679117373388276,4116,0.27356107935663965,447,0.029708892728964507
Iowa,17.0,0.43653850727388244,0.577132376653931,0.6939506899951784,-0.43552009081739174,1.1294707808125701,Trump,1976,0.13091294554127467,108,0.0071551609911223,1400,0.09275208692195575,19,0.0012587783225122566,2138,0.14164568702795813,271,0.017954153968464292,4209,0.27885252418179407,458,0.030343182721611236
Iowa,18.0,0.44008600718771124,0.5890482777103782,0.709069286723335,-0.4418936112557488,1.1509628979790838,Trump,2180,0.14383742412245976,106,0.006993929796780153,1628,0.1074162048033782,20,0.0013196093956188968,2328,0.1536025336500396,306,0.020190023752969122,4339,0.2862892583795197,494,0.03259435207178675
Iowa,19.0,0.4170931957171784,0.5908289623112646,0.6978410111967743,-0.43100843281957224,1.1288494440163466,Trump,2132,0.14005123825789922,111,0.00729159823950601,1695,0.11134467581948368,20,0.0013138014845956777,2253,0.14799973723970308,305,0.02003547264008408,4378,0.2875911449779938,510,0.03350193785718978
Iowa,20.0,0.4109431816108813,0.5898421169077808,0.6941800968807346,-0.42593047607577605,1.1201105729565106,Trump,2066,0.13765991471215352,104,0.006929637526652452,1697,0.1130730277185501,23,0.0015325159914712154,2217,0.14772121535181237,285,0.018989872068230277,4248,0.2830490405117271,495,0.032982409381663115
Iowa,21.0,0.41477745860452025,0.605471969933867,0.706723329280679,-0.4333623290125554,1.1400856582932344,Trump,2334,0.1579481626852541,91,0.006158218853623875,1789,0.12106652229816607,15,0.0010150910198281112,2248,0.15212830750490627,256,0.0173242200717331,4129,0.27942072139135143,485,0.0328212763077756
Iowa,22.0,0.40152675570970625,0.5943466586043359,0.6939721877454599,-0.42381924136897614,1.117791429114436,Trump,2103,0.14217144402379664,93,0.006287182260681449,1625,0.1098566792861006,14,0.0009464575446187128,2066,0.13967009194159005,252,0.01703623580313683,3970,0.268388318009735,486,0.03285559762033532
Iowa,23.0,0.4390637801312365,0.5969449282084691,0.7265634227587803,-0.4116169806236224,1.1381804033824028,Trump,2422,0.1612087326943557,89,0.005923855165069223,1704,0.1134185303514377,13,0.0008652822151224707,2230,0.14842917997870075,257,0.017105963791267307,4271,0.28427848775292863,477,0.031749201277955275
Iowa,24.0,0.4405906887544793,0.5943762944982214,0.7201408334843733,-0.4176954302775979,1.1378362637619712,Trump,2514,0.16309848189957182,93,0.006033476060724017,1861,0.12073439730115479,21,0.0013623978201634877,2416,0.15674062540547554,272,0.017646295575450888,4579,0.29706760088231476,501,0.03250291942390035
Iowa,25.0,0.44533761038705666,0.5922716636319101,0.71159693401342,-0.420094300944684,1.1316912349581039,Trump,2634,0.16592125984251968,93,0.005858267716535433,2011,0.1266771653543307,27,0.0017007874015748032,2620,0.16503937007874014,273,0.017196850393700787,4784,0.3013543307086614,537,0.03382677165354331
Iowa,26.0,0.4673482781278191,0.5950215929363306,0.7093025948691273,-0.4361816099931046,1.1454842048622318,Trump,3022,0.18139255702280913,94,0.005642256902761105,2264,0.13589435774309724,19,0.0011404561824729892,2894,0.17370948379351742,249,0.014945978391356543,5141,0.3085834333733493,521,0.03127250900360144
Iowa,27.0,0.4541344126042522,0.5925811319107963,0.6938405679241975,-0.4416024854376083,1.1354430533618058,Trump,2853,0.1708178661238175,103,0.006166926116632739,2091,0.12519458747455395,26,0.0015566997964315652,2722,0.16297449407256617,261,0.015626871033409172,4896,0.2931385462818824,502,0.030056280684947912
Iowa,28.0,0.4728471075266256,0.5953154041187497,0.7143259920464242,-0.4430409325644028,1.1573669246108271,Trump,3035,0.18020425127657047,96,0.0057000356252226575,2206,0.130982068637929,19,0.0011281320508253177,2875,0.17070419190119937,271,0.016090725567034794,5238,0.31100819380121125,490,0.029093931837073983
Iowa,29.0,0.4730148796320028,0.6021775593633807,0.7253200454878637,-0.45189537270312924,1.1772154181909928,Trump,3193,0.18867813035513797,108,0.006381847190214501,2166,0.12799149087041306,20,0.0011818235537434261,2933,0.17331442415647344,297,0.017550079773089877,5141,0.30378774448974766,501,0.029604680021272825
Iowa,30.0,0.4739687891022215,0.6040535497363672,0.7368048613739269,-0.4465351255460476,1.1833399869199743,Trump,3130,0.1909934098120576,111,0.006773248718574567,2170,0.1324139614351965,27,0.001647546985599219,2918,0.17805711496216745,278,0.016963631925799364,5106,0.3115694410544301,477,0.02910666341225287
Iowa,31.0,0.4810707040259115,0.6030873146710013,0.7440907785674541,-0.44700180731782,1.1910925858852741,Trump,3202,0.197727553414845,112,0.0069161417809065085,2270,0.1401753735951587,28,0.0017290354452266271,2942,0.18167222428059776,295,0.018216623440780535,5129,0.31672224280597755,507,0.03130789181178214
Iowa,32.0,0.4542894897856631,0.605629826462679,0.7347762537155338,-0.4448753095082117,1.1796515632237454,Trump,2801,0.1817179187751395,91,0.005903723887375113,2017,0.13085506682236928,23,0.0014921499935123914,2608,0.16919683404697028,276,0.017905799922148698,4654,0.30193330738289864,494,0.03204878681717919
Iowa,33.0,0.46827690189160315,0.6156570940335968,0.7438931024298575,-0.45049395617145493,1.1943870586013126,Trump,2991,0.18852820674440593,122,0.007689883391112512,2173,0.13696816892530728,25,0.001575795776867318,2805,0.17680428616451307,270,0.017018594390167036,4925,0.31043176804286166,488,0.030759533564450048
Iowa,34.0,0.47248731522614024,0.62097831909285,0.753773941464733,-0.45348224340321536,1.2072561848679484,Trump,3388,0.2074074074074074,115,0.007040097949188858,2466,0.15096418732782368,17,0.0010407101316192225,3037,0.1859198041016223,294,0.017998163452708906,5239,0.3207223752678298,524,0.032078359351086626
Iowa,35.0,0.4633675625885539,0.6196364944605253,0.7494139104280272,-0.44632174145165354,1.1957356518796807,Trump,3329,0.2004455684007707,117,0.007044797687861272,2426,0.14607418111753373,13,0.0007827552986512524,2950,0.1776252408477842,297,0.017882947976878612,5222,0.3144267822736031,500,0.03010597302504817
Iowa,36.0,0.46402347614694167,0.6226553770779567,0.7430193110898216,-0.46275579165182057,1.2057751027416421,Trump,3326,0.19657210401891254,143,0.008451536643026005,2439,0.14414893617021277,17,0.0010047281323877068,3040,0.17966903073286053,327,0.019326241134751773,5356,0.316548463356974,543,0.03209219858156028
Iowa,37.0,0.46679122637967474,0.6170640444321198,0.7482309571380686,-0.4541551345778958,1.2023860917159643,Trump,3279,0.19366841887661684,132,0.007796349890732975,2404,0.14198806922213691,23,0.001358454905203473,2938,0.17352784832555668,336,0.0198452542673203,5398,0.3188234599255803,569,0.03360699308959896
Iowa,38.0,0.4373591345445095,0.616479514356613,0.7235516038113202,-0.45157201999634244,1.1751236238076626,Trump,2879,0.1686288291454343,153,0.008961518186610437,1985,0.1162654483687694,19,0.0011128682715398582,2514,0.14725004392901073,364,0.02132021320213202,4875,0.285538569671411,608,0.035611784689275464
Iowa,39.0,0.4336809910277403,0.609401053206813,0.7161218725048869,-0.44278022802826145,1.1589021005331483,Trump,2869,0.1677581569407087,154,0.009004794760846684,1964,0.11484036954742136,21,0.0012279265582972752,2588,0.15132733013682612,363,0.021225587650567184,4998,0.2922465208747515,663,0.03876739562624255
Iowa,40.0,0.4443724604168308,0.6203086517430264,0.7392607763346495,-0.4367429701990728,1.1760037465337223,Trump,3118,0.18452979818902765,132,0.007812037639817719,2034,0.12037639817719122,15,0.0008877315499792863,2633,0.1558264780730307,365,0.021601467716162632,4950,0.29295141149316445,636,0.03763981771912174
