"data_year","state_id","state_abbr","total_population","total_agencies","participation_agencies","covered_agencies","population_covered","nibrs_participating_agencies","nibrs_population"
1964,10,"DC",808000,3,1,0,0,0,0
1964,11,"DE",502284,85,12,0,0,0,0
1964,12,"FL",6823406,1262,167,0,0,0,0
1964,13,"GA",5025419,887,142,0,0,0,0
1964,14,"GM",64363,3,1,0,0,0,0
1964,15,"HI",742484,19,12,0,0,0,0
1964,16,"IA",3005632,308,189,0,0,0,0
1964,17,"ID",769636,162,72,0,0,0,0
1964,18,"IL",11446357,1250,386,0,0,0,0
1964,19,"IN",5567233,457,246,0,0,0,0
1964,20,"KS",2505209,501,185,0,0,0,0
1964,21,"KY",3776484,715,159,0,0,0,0
1964,22,"LA",4317841,334,99,0,0,0,0
1964,23,"MA",5449565,521,218,0,0,0,0
1964,24,"MD",4010923,219,50,0,0,0,0
1964,25,"ME",1102746,271,83,0,0,0,0
1964,26,"MI",8858493,909,268,0,0,0,0
1964,27,"MN",3741890,501,209,0,0,0,0
1964,28,"MO",4955628,771,211,0,0,0,0
1964,29,"MS",2963400,300,79,0,0,0,0
1964,30,"MT",778893,162,86,0,0,0,0
1964,31,"NE",1664964,364,127,0,0,0,0
1964,32,"NC",5635810,864,154,0,0,0,0
1964,33,"ND",715488,154,63,0,0,0,0
1964,34,"NH",742212,268,44,0,0,0,0
1964,35,"NJ",6876001,675,315,0,0,0,0
1964,36,"NM",1247435,180,60,0,0,0,0
1964,37,"NV",450263,83,25,0,0,0,0
1964,38,"NY",19013081,1267,364,0,0,0,0
1964,39,"OH",10891958,973,354,0,0,0,0
1964,40,"OK",2914000,534,151,0,0,0,0
1964,41,"OR",2131794,321,93,0,0,0,0
1964,42,"PA",12217913,1966,509,0,0,0,0
1964,43,"PR",2577000,25,1,0,0,0,0
1964,44,"RI",933089,64,30,0,0,0,0
1964,45,"SC",2982740,588,68,0,0,0,0
1964,46,"SD",840926,211,83,0,0,0,0
1964,47,"TN",4506932,653,104,0,0,0,0
1964,48,"TX",11922302,1364,417,0,0,0,0
1964,49,"UT",1103611,208,59,0,0,0,0
1964,50,"VI",0,3,0,0,0,0,0
1964,51,"VA",4887828,518,133,0,0,0,0
1964,52,"VT",466042,112,28,0,0,0,0
1964,53,"WA",3092130,337,111,0,0,0,0
1964,54,"WI",4454336,509,186,0,0,0,0
1964,55,"WV",1840000,552,47,0,0,0,0
1964,56,"WY",389112,97,43,0,0,0,0
1964,57,"MP",0,1,0,0,0,0,0
1964,98,"FS",0,0,0,0,0,0,0
1964,99,"OT",0,0,0,0,0,0,0
1965,1,"AK",416796,57,7,0,0,0,0
1965,2,"AL",4074150,521,98,0,0,0,0
1965,3,"AR",2230318,368,81,0,0,0,0
1965,4,"AS",0,1,0,0,0,0,0
1965,5,"AZ",1710093,179,47,0,0,0,0
1965,6,"CA",19465525,948,391,0,0,0,0
1965,7,"CO",2094256,334,94,0,0,0,0
1965,8,"CT",2974598,133,78,0,0,0,0
1965,9,"CZ",42964,1,0,0,0,0,0
1965,10,"DC",803000,3,1,0,0,0,0
1965,11,"DE",520028,85,12,0,0,0,0
1965,12,"FL",6336569,1256,168,0,0,0,0
1965,13,"GA",4960391,874,129,0,0,0,0
1965,14,"GM",127386,4,1,0,0,0,0
1965,15,"HI",707238,18,7,0,0,0,0
1965,16,"IA",3099469,309,188,0,0,0,0
1965,17,"ID",764272,158,70,0,0,0,0
1965,18,"IL",11287752,1244,376,0,0,0,0
1965,19,"IN",5318096,464,225,0,0,0,0
1965,20,"KS",2344588,489,181,0,0,0,0
1965,21,"KY",3471976,696,136,0,0,0,0
1965,22,"LA",4141215,326,92,0,0,0,0
1965,23,"MA",5459775,528,217,0,0,0,0
1965,24,"MD",4038809,217,54,0,0,0,0
1965,25,"ME",1182080,272,84,0,0,0,0
1965,26,"MI",8739284,900,266,0,0,0,0
1965,27,"MN",3846645,500,206,0,0,0,0
1965,28,"MO",4912766,761,209,0,0,0,0
1965,29,"MS",2767257,288,74,0,0,0,0
1965,30,"MT",854135,165,84,0,0,0,0
1965,31,"NE",1625708,359,124,0,0,0,0
1965,32,"NC",5361226,856,149,0,0,0,0
1965,33,"ND",656860,147,62,0,0,0,0
1965,34,"NH",670694,262,43,0,0,0,0
1965,35,"NJ",6954498,680,320,0,0,0,0
1965,36,"NM",1273033,178,60,0,0,0,0
1965,37,"NV",426264,82,26,0,0,0,0
1965,38,"NY",18805764,1266,368,0,0,0,0
1965,39,"OH",11024448,973,360,0,0,0,0
1965,40,"OK",2775055,521,144,0,0,0,0
1965,41,"OR",2046571,315,90,0,0,0,0
1965,42,"PA",12081776,1972,511,0,0,0,0
1965,43,"PR",5262978,26,1,0,0,0,0
1965,44,"RI",1016676,69,30,0,0,0,0
1965,45,"SC",3027777,586,66,0,0,0,0
1965,46,"SD",810625,209,82,0,0,0,0
1965,47,"TN",4198762,635,92,0,0,0,0
1965,48,"TX",11754032,1322,416,0,0,0,0
1965,49,"UT",1153407,210,61,0,0,0,0
1965,50,"VI",0,3,0,0,0,0,0
