"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2"
36,"Wyoming",0,2016,1,1,121,0.283654424267955,0.564758334959488,0.59451264800182,-0.378397504899242,0.972910152901062,"Trump",1021,0.0962027701875059,46,0.0043343069820032,695,0.0654857250541788,6,0.00056534438895694,899,0.0847074342787148,97,0.00913973428813719,1950,0.183736926411005,180,0.0169603316687082,584290,0,0.100537077169509,0.0660510694431358,0.093847168566852,0.200697258079714,1067,701,996,2130,0.990875794895159,0.988109127210431
37,"Wyoming",0,2016,1,1,121,0.292455142995696,0.556415503376335,0.593029615827756,-0.367866129201564,0.96089574502932,"Trump",1054,0.0957311534968211,35,0.00317892824704814,769,0.0698455949137148,6,0.000544959128065395,928,0.0842870118074478,92,0.00835603996366939,1956,0.177656675749319,192,0.0174386920980926,584290,0,0.0989100817438692,0.0703905540417802,0.0926430517711172,0.195095367847411,1089,775,1020,2148,0.972910152901062,0.990875794895159
38,"Wyoming",0,2016,1,1,121,0.27736104902855,0.547976673872905,0.564179943785982,-0.355086112950897,0.919266056736879,"Trump",1021,0.0912258756254467,36,0.00321658327376698,699,0.0624553252323088,5,0.00044674767691208,884,0.0789849892780558,105,0.00938170121515368,1850,0.16529664045747,192,0.0171551107934239,584290,0,0.0944424588992137,0.0629020729092209,0.0883666904932094,0.182451751250893,1057,704,989,2042,0.96089574502932,0.972910152901062
39,"Wyoming",0,2016,1,1,121,0.277589117207775,0.530582541279101,0.55323834982215,-0.335605920758876,0.888844270581026,"Trump",939,0.0835112059765208,40,0.00355745286374956,617,0.0548737104233369,8,0.000711490572749911,861,0.0765741728922092,89,0.00791533262184276,1859,0.165332621842761,180,0.016008537886873,584290,0,0.0870686588402704,0.0555852009960868,0.0844895055140519,0.181341159729634,979,625,950,2039,0.919266056736879,0.96089574502932
40,"Wyoming",0,2016,1,1,121,0.286155704645278,0.538082164640565,0.571200653910102,-0.337187029528541,0.908387683438643,"Trump",1035,0.0926340284614696,39,0.0034905575942003,629,0.0562964288910767,5,0.000447507383871834,855,0.0765237626420836,94,0.00841313881679048,1853,0.165846236462902,179,0.0160207643426117,584290,0,0.0961245860556699,0.0567439362749485,0.0849369014588741,0.181867000805513,1074,634,949,2032,0.888844270581026,0.919266056736879
41,"Wyoming",0,2016,2,1,122,0.281011281796524,0.55960945513723,0.594959550667537,-0.339982338554563,0.9349418892221,"Trump",1076,0.10317384217087,44,0.00421900469843705,637,0.0610796816569182,10,0.000958864704190239,840,0.0805446351519801,89,0.00853389586729312,1813,0.17384217086969,170,0.0163006999712341,584290,0,0.107392846869307,0.0620385463611084,0.0890785310192732,0.190142870840924,1120,647,929,1983,0.908387683438643,0.888844270581026
42,"Wyoming",0,2016,2,1,122,0.309800104588547,0.579827268699008,0.636115309842982,-0.35993181101156,0.996047120854542,"Trump",1336,0.123990719257541,54,0.00501160092807425,784,0.0727610208816705,10,0.000928074245939675,998,0.0926218097447796,106,0.00983758700696056,2068,0.191925754060325,182,0.0168909512761021,584290,0,0.129002320185615,0.0736890951276102,0.10245939675174,0.208816705336427,1390,794,1104,2250,0.9349418892221,0.908387683438643
43,"Wyoming",0,2016,2,1,122,0.326813618234458,0.602861849239775,0.674952779049351,-0.371336949094587,1.04628972814394,"Trump",1519,0.143058956488981,54,0.00508570352232059,843,0.0793934827651158,3,0.000282539084573366,987,0.0929553588246374,116,0.0109248446035035,2105,0.198248257675645,187,0.0176116029384065,584290,0,0.148144660011302,0.0796760218496892,0.103880203428141,0.215859860614052,1573,846,1103,2292,0.996047120854542,0.9349418892221
44,"Wyoming",0,2016,3,1,123,0.333728337393174,0.60285843645096,0.680721606573862,-0.371723383824496,1.05244499039836,"Trump",1543,0.14366852886406,55,0.00512104283054004,866,0.080633147113594,2,0.000186219739292365,1053,0.0980446927374302,109,0.0101489757914339,2167,0.201769087523277,195,0.0181564245810056,584290,0,0.1487895716946,0.0808193668528864,0.108193668528864,0.219925512104283,1598,868,1162,2362,1.04628972814394,0.996047120854542
45,"Wyoming",0,2016,3,1,123,0.336747063099838,0.592851155489106,0.65833272114581,-0.377490235753318,1.03582295689913,"Trump",1490,0.139083356669467,49,0.00457388219919724,783,0.0730887706524783,4,0.000373378138709979,924,0.086250350042005,108,0.0100812097451694,2003,0.186969102959022,195,0.0182021842621115,584290,0,0.143657238868664,0.0734621487911883,0.0963315597871745,0.205171287221133,1539,787,1032,2198,1.05244499039836,1.04628972814394
46,"Wyoming",0,2016,3,1,123,0.342051735343748,0.575762398761938,0.647992394041318,-0.364779886694244,1.01277228073556,"Trump",1453,0.133290523805155,50,0.00458673516191175,753,0.069076231538391,2,0.00018346940647647,874,0.0801761306302174,101,0.00926520502706174,1933,0.177323181359508,176,0.0161453077699294,584290,0,0.137877258967067,0.0692597009448674,0.0894413356572792,0.193468489129438,1503,755,975,2109,1.03582295689913,1.05244499039836
47,"Wyoming",0,2016,3,1,123,0.344768145418197,0.579789023523086,0.651159412273013,-0.363410936579565,1.01457034885258,"Trump",1505,0.138735250737463,46,0.00424041297935103,765,0.0705199115044248,4,0.000368731563421829,850,0.0783554572271386,98,0.00903392330383481,1898,0.174963126843658,167,0.0153945427728614,584290,0,0.142975663716814,0.0708886430678466,0.0873893805309734,0.190357669616519,1551,769,948,2065,1.01277228073556,1.03582295689913
48,"Wyoming",0,2016,3,1,123,0.339565693813635,0.60215792582151,0.672053202703694,-0.369997244233818,1.04205044693751,"Trump",1681,0.155016599040944,33,0.00304315750645518,912,0.084101807451125,2,0.000184433788270011,891,0.0821652526742899,92,0.00848395426042051,2034,0.187569162670601,180,0.016599040944301,584290,0,0.158059756547399,0.0842862412393951,0.0906492069347104,0.204168203614902,1714,914,983,2214,1.01457034885258,1.01277228073556
