"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2","trump_num","clinton_num","total_num","trump_ratio"
15,"Missouri",0,2015,8,3,116,0.228680731048089,0.646051614898121,0.653032236534293,-0.543370874743776,1.19640311127807,"Trump",1864,0.0756800649614291,485,0.0196914332115307,1334,0.0541615915550142,101,0.00410069021518473,2225,0.0903369874137231,1177,0.047787251319529,4839,0.19646772228989,2052,0.0833130328867235,6071745,0,0.0953714981729598,0.0582622817701989,0.138124238733252,0.279780755176614,2349,1435,3402,6891,1.16320771630803,1.16965045503743,15894,8736,24630,0.64531059683313
23,"Missouri",0,2015,10,4,118,0.241522033347823,0.670495269246606,0.697289934143547,-0.51894519706938,1.21623513121293,"Trump",2780,0.114833326448841,431,0.0178032962947664,1813,0.074889503903507,107,0.00441984385972159,2574,0.106324094345078,1242,0.0513032343343385,5199,0.214754843240117,2152,0.088892560617952,6071745,0,0.132636622743608,0.0793093477632286,0.157627328679417,0.303647403858069,3211,1920,3816,7351,1.19640311127807,1.16320771630803,15137,9072,24209,0.625263331818745
33,"Missouri",0,2015,12,4,120,0.236195761010765,0.69906808339761,0.713018889851283,-0.560069361548385,1.27308825139967,"Trump",3116,0.124500559373502,682,0.0272494805817484,2162,0.0863832507591498,177,0.00707207927121624,2875,0.114871344094614,1376,0.0549784241649353,5738,0.22926322518779,2345,0.0936950615310852,6071745,0,0.15175003995525,0.093455330030366,0.169849768259549,0.322958286718875,3798,2339,4251,8083,1.21623513121293,1.19640311127807,15654,9374,25028,0.625459485376378
35,"Missouri",0,2015,12,4,120,0.222462340729325,0.702221391448603,0.714073460325144,-0.559634969368296,1.27370842969344,"Trump",3314,0.129241088838624,618,0.024101084158802,2305,0.0898915841198034,106,0.00413384291396927,2926,0.114109663832774,1352,0.0527259964121363,5781,0.22545043288355,2359,0.0919975040948444,6071745,0,0.153342172997426,0.0940254270337727,0.166835660244911,0.317447936978395,3932,2411,4278,8140,1.27308825139967,1.21623513121293,15745,9897,25642,0.614031666796662
37,"Missouri",0,2016,1,1,121,0.225499140866572,0.695806750465964,0.709233561302967,-0.549635567715117,1.25886912901808,"Trump",3262,0.124318762147948,580,0.0221045009337246,2347,0.0894470063645718,93,0.00354434239109722,2912,0.1109798391707,1352,0.0515263539006822,5887,0.224360684477305,2329,0.0887610046114562,6087203,0,0.146423263081672,0.092991348755669,0.162506193071382,0.313121689088761,3842,2440,4264,8216,1.27370842969344,1.27308825139967,16156,10082,26239,0.61572468462975
38,"Missouri",0,2016,1,1,121,0.22815238279506,0.705215482455607,0.720513081495638,-0.55467362023192,1.27518670172756,"Trump",3511,0.133340928943071,643,0.024419885306293,2420,0.0919068778246174,58,0.00220272682389579,3017,0.114579772891269,1412,0.0536250047472561,6041,0.229425392123353,2324,0.088260985150583,6087203,0,0.157760814249364,0.0941096046485132,0.168204777638525,0.317686377273936,4154,2478,4429,8365,1.25886912901808,1.27370842969344,16164,10166,26331,0.613877178990544
39,"Missouri",0,2016,1,1,121,0.226375907287671,0.69542620143744,0.7116689397989,-0.545401336047288,1.25707027584619,"Trump",3409,0.127975073203694,690,0.0259028455589759,2247,0.0843531796681432,127,0.00476762519708687,3114,0.116900668218335,1380,0.0518056911179518,6193,0.232487423980779,2437,0.0914858472858323,6087203,0,0.15387791876267,0.0891208048652301,0.168706359336286,0.323973271266612,4099,2374,4494,8630,1.27518670172756,1.25886912901808,16354,10283,26638,0.613934980103611
41,"Missouri",0,2016,2,1,122,0.218906787283334,0.723667176917217,0.735977060232965,-0.572758907906843,1.30873596813981,"Trump",3667,0.141955713843295,920,0.0356147414060081,2267,0.0877593682254568,120,0.00464540105295757,2891,0.111915453700836,1635,0.0632935893465469,5911,0.228824713533602,2696,0.10436667698978,6087203,0,0.177570455249303,0.0924047692784144,0.175209043047383,0.333191390523382,4587,2387,4526,8607,1.25707027584619,1.27518670172756,15626,10206,25832,0.604908640445958
44,"Missouri",0,2016,3,1,123,0.203408064155864,0.75598024770664,0.778473765191838,-0.593831189937883,1.37230495512972,"Trump",4762,0.166765890386973,697,0.0244090351952373,2802,0.0981264226930485,37,0.00129574505340571,3297,0.115461390299422,1499,0.0524951847312205,6512,0.228051129399405,3856,0.135037646646822,6087203,0,0.19117492558221,0.0994221677464542,0.167956575030643,0.363088776046227,5459,2839,4796,10368,1.30873596813981,1.25707027584619,16589,11966,28555,0.580949045701278
45,"Missouri",0,2016,3,1,123,0.223977052029909,0.761157711129034,0.786195068328344,-0.597351447213286,1.38354651554163,"Trump",4890,0.177514792899408,747,0.0271172904490507,2700,0.0980143028278941,31,0.00112534940283878,3220,0.116891131520674,1567,0.0568845972338186,6356,0.230732929175591,3467,0.125857625149744,6087203,0,0.204632083348459,0.0991396522307329,0.173775728754492,0.356590554325335,5637,2731,4787,9823,1.37230495512972,1.30873596813981,16353,11194,27547,0.593639960794279
