Week,immigration_reaction_amount,immigration_reaction_ratio,race_reaction_amount,race_reaction_ratio,immigration_user_amount,immigration_user_ratio,race_user_amount,race_user_ratio,immigration_post_amount,immigration_post_ratio,race_post_amount,race_post_ratio,related_reaction_amount,related_reaction_ratio,related_user_amount,related_user_ratio,related_post_amount,related_post_ratio,std_whole_x,std_whole_y,std_all,std_new,std_quit
2015-05-24,1621914.0,0.02071997980423026,1179323.0,0.015065872014585391,746734.0,0.0789331956637026,596103.0,0.06301081072339028,3055,0.024746861077359256,2931,0.023742405832320776,2801237.0,0.035785851818815655,1342837.0,0.14194400638709287,5986,0.04848926690968003,1.0027243576023919,1.0027243576023919,1.0037551919422625,1.0027243576022615,1.0037552139612498
2016-11-13,3408562.0,0.030718162895315107,1426379.0,0.012854612142145769,1890485.0,0.14846427585847272,935371.0,0.07345690559513325,3658,0.02448444120186612,2462,0.016479140032529902,4834941.0,0.043572775037460876,2825856.0,0.22192118145360595,6120,0.04096358123439602,1.0177383464945384,1.0177383464945384,1.024109617744717,1.0192532707995046,1.0209087365944574
2016-05-01,1313912.0,0.016282477322033678,974529.0,0.01207671924920707,751099.0,0.06621794858796715,679119.0,0.059872090133406726,2440,0.015990562946457832,1957,0.012825217904187692,2288441.0,0.028359196571240745,1430218.0,0.12609003872137386,4397,0.028815780850645525,1.0101678079153593,1.0101678079153593,1.0198245051021624,1.0108556182750539,1.0168636427246591
2016-08-21,1752980.0,0.021091178336549984,2875390.0,0.034595581967354135,935591.0,0.08484556254164782,1375184.0,0.1247107551037509,3362,0.021679273144655304,4488,0.02894008860000387,4628370.0,0.05568676030390412,2310775.0,0.20955631764539873,7850,0.05061936174465917,1.0168429345753955,1.0168429345753955,1.024870900294502,1.0189549350772886,1.0196634593905625
2016-04-24,992074.0,0.01280022580391357,791398.0,0.010211005530601136,580540.0,0.05272024533158296,526644.0,0.047825818862449056,2215,0.014455393852378776,1974,0.012882594792142531,1783472.0,0.023011231334514708,1107184.0,0.10054606419403202,4189,0.027337988644521305,1.0124881874600178,1.0124881874600178,1.0184877556326122,1.0135132375933444,1.0156464968717063
2016-01-10,3214178.0,0.02902473059064638,1013067.0,0.009148216665434946,1431808.0,0.12089333920093648,615679.0,0.051984267573510816,4827,0.028484261958433163,1937,0.0114302911567195,4227245.0,0.03817294725608133,2047487.0,0.1728776067744473,6764,0.039914553115152664,1.0097399738718238,1.0097399738718238,1.0134087051670733,1.010542938230248,1.0113575789027685
2015-10-11,2199331.0,0.024312495207185186,1444440.0,0.015967555850877637,1027290.0,0.0960420438820959,801505.0,0.07493324998950568,3748,0.025609489450092927,2530,0.0172870886629496,3643771.0,0.04028005105806282,1828795.0,0.1709752938716016,6278,0.042896578113042524,1.0052423464642317,1.0052423464642317,1.0070222249840384,1.0055166491542211,1.0060909021884277
2016-03-06,1846641.0,0.01780176731011599,1339913.0,0.012916868758897613,1150202.0,0.09130339457206947,860026.0,0.06826913291772976,3171,0.01842619064221463,2532,0.014713060456035144,3186554.0,0.030718636069013604,2010228.0,0.15957252748979922,5703,0.03313925109824978,1.009686736848162,1.009686736848162,1.0148496838877001,1.0114521703751551,1.0118760688374164
2015-11-15,5466549.0,0.045674805933528975,1060746.0,0.008862879980544788,2355648.0,0.1845195801317288,631444.0,0.04946145678670979,6065,0.038169620380626317,2065,0.012995921860839794,6527295.0,0.054537685914073764,2987092.0,0.2339810369184386,8130,0.05116554224146611,1.0076308314355593,1.0076308314355593,1.0097763264582025,1.0083010367154388,1.0085132767741904
2016-06-05,2432844.0,0.029355499407434583,985575.0,0.011892273540137523,1422388.0,0.1225895890189001,682592.0,0.058829709437642236,3576,0.024099633383653226,2134,0.014381604485658832,3418419.0,0.041247772947572106,2104980.0,0.18141929845654234,5710,0.038481237869312054,1.0141726394584707,1.0141726394584707,1.0213397848556756,1.0164251915171119,1.0175251158070513
2016-01-24,2268817.0,0.02333684826890546,1333544.0,0.013716714035512455,998134.0,0.08756121334425684,845967.0,0.07421237726517775,3175,0.019044362868590896,2239,0.013430024712685043,3602361.0,0.03705356230441792,1844101.0,0.16177359060943458,5414,0.03247438758127594,1.0103674568017733,1.0103674568017733,1.0145311292808403,1.0108202379020632,1.012173129691437
2015-12-27,3237950.0,0.036769636904676,1225586.0,0.013917556545176495,1419575.0,0.13434837100677782,712715.0,0.06745124367651985,5262,0.03763921574237666,2127,0.01521448344432443,4463536.0,0.050687193449852494,2132290.0,0.20179961468329766,7389,0.05285369918670109,1.0076644565215715,1.0076644565215715,1.0100911710007454,1.0085610590785137,1.0093290357482023
2015-07-12,5071125.0,0.04877621417629994,1746294.0,0.016796590531447664,1905109.0,0.17355597392855587,927083.0,0.08445752604056113,5255,0.037942786177417726,2736,0.01975479790321882,6817419.0,0.0655728047077476,2832192.0,0.258013499969117,7991,0.05769758408063655,1.0044353974100917,1.0044353974100917,1.0052818900549196,1.0044840776286912,1.0050752564774181
2015-07-26,1605748.0,0.016632990796017034,1925124.0,0.0199412172851478,709809.0,0.06701773265966479,890687.0,0.08409561339661635,3240,0.022938702688925703,3434,0.02431219291165768,3530872.0,0.036574208081164836,1600496.0,0.15111334605628113,6674,0.04725089560058338,1.0033520420640802,1.0033520420640802,1.0033971087557716,1.0033068228120539,1.0033916717283127
2016-05-08,1575202.0,0.020778819286777432,1051977.0,0.013876848795802863,862332.0,0.07960535377141639,689595.0,0.06365930283695825,2876,0.01917473948089526,2477,0.01651454439992266,2627179.0,0.0346556680825803,1551927.0,0.14326465660837465,5353,0.03568928388081792,1.0104577795896341,1.0104577795896341,1.0199814329870687,1.0110860211088997,1.0170520195100476
2016-04-03,1397283.0,0.01734968939853782,1176615.0,0.014609713845842663,810880.0,0.07154366070828294,708956.0,0.06255094159567562,3093,0.019577684098591012,3206,0.020292937348879013,2573898.0,0.031959403244380485,1519836.0,0.13409460230395856,6299,0.03987062144747003,1.0110565579684523,1.0110565579684523,1.0170262314317287,1.0127897604606262,1.0139896803670387
2016-02-07,1931378.0,0.01880681411530089,2932962.0,0.028559749122772,977608.0,0.0806232016930074,1451072.0,0.11966971478043925,3194,0.018267399497846688,4297,0.024575771960628438,4864340.0,0.04736656323807289,2428680.0,0.20029291647344666,7491,0.042843171458475125,1.0091923125850635,1.0091923125850635,1.0149992313450398,1.0099812316202745,1.0125477520394264
2015-12-13,4735377.0,0.0469356466083285,1163481.0,0.011532077182345704,1908098.0,0.16728922005231814,707726.0,0.06204866340761686,7532,0.04795894327320425,2062,0.013129492967252677,5898858.0,0.058467723790674206,2615824.0,0.229337883459935,9594,0.06108843624045693,1.0018954383426164,1.0018954383426164,1.0075821680374613,1.0037149062260076,1.0064360792936828
2016-08-28,3730195.0,0.04466273281597196,2907051.0,0.034806985183188574,1699979.0,0.15375527014004112,1423975.0,0.12879197966425765,6156,0.0388994906921784,4763,0.03009718553717441,6637246.0,0.07946971799916053,3123954.0,0.2825472498042988,10919,0.06899667622935281,1.01701188725121,1.01701188725121,1.026496901839101,1.0197465945942141,1.0202410229393277
2016-09-18,1675903.0,0.018766539880303974,4827657.0,0.054059463834678176,945040.0,0.08056934625559795,2200840.0,0.18763252350500528,3370,0.020522626652619527,6943,0.04228148274455115,6503560.0,0.07282600371498216,3145880.0,0.26820186976060323,10313,0.06280410939717068,1.0159790655582919,1.0159790655582919,1.0232196584617366,1.0185437575276206,1.0192237811001585
2016-06-26,1768173.0,0.022865334481747056,719685.0,0.009306690152205768,893246.0,0.08266970526047297,511720.0,0.047359564527452935,3193,0.02236291943605942,1644,0.011514137035039677,2487858.0,0.03217202463395283,1404966.0,0.1300292697879259,4837,0.03387705647109909,1.0158211203220684,1.0158211203220684,1.023668686436034,1.0184572940201686,1.0187125028697603
2015-06-14,1745306.0,0.0211746913553361,3561739.0,0.043212321514544405,855638.0,0.08583455652510279,1488699.0,0.14934098119106912,2884,0.021303785780240076,6880,0.05082179132040628,5307045.0,0.06438701286988051,2344337.0,0.2351755377161719,9764,0.07212557710064636,1.001956729546785,1.001956729546785,1.0042143805519597,1.0020028183749883,1.0036763061491851
2016-08-14,1879845.0,0.02106310443768975,2896083.0,0.032449749149114866,1085992.0,0.09802214937801057,1404138.0,0.12673815717182174,3005,0.019358122036693463,4475,0.028827819006390438,4775928.0,0.05351285358680462,2490130.0,0.2247603065498323,7480,0.0481859410430839,1.0165545424132638,1.0165545424132638,1.0246363587233365,1.018714939525779,1.019436189588222
2016-02-28,1894707.0,0.01789600065769236,2073888.0,0.0195884118293648,1107252.0,0.08736084029102291,1225272.0,0.09667247519540467,2997,0.017270490339013327,3666,0.021125664859133426,3968595.0,0.03748441248705716,2332524.0,0.1840333154864276,6663,0.03839615519814675,1.0090459589455514,1.0090459589455514,1.0140248665610676,1.0110040414265005,1.0117331080318097
2016-11-20,1935008.0,0.02059158933998153,1469594.0,0.015638837743565302,1211495.0,0.10265456566432522,949018.0,0.0804138940710664,2317,0.017229071548608737,2410,0.017920613911155396,3404602.0,0.03623042708354683,2160513.0,0.18306845973539163,4727,0.03514968545976413,1.01567231753599,1.01567231753599,1.023031514469497,1.0176174193242458,1.0191782322921266
2016-09-11,1437340.0,0.01568066762329205,2054840.0,0.022417286834740167,798846.0,0.06677698556887658,1122512.0,0.0938328133643916,2889,0.017671129814602997,3340,0.020429758941077885,3492180.0,0.03809795445803221,1921358.0,0.16060979893326818,6229,0.03810088875568088,1.0159177710392588,1.0159177710392588,1.0233071803683056,1.0185580036980573,1.0188297333235314
2016-01-03,3346890.0,0.03207013108672909,1194825.0,0.011448895654085162,1490054.0,0.12835303696399045,671536.0,0.057846014326091724,5156,0.03247587614320627,2712,0.017081958126527425,4541715.0,0.04351902674081425,2161590.0,0.18619905129008218,7868,0.04955783426973369,1.0095376274502401,1.0095376274502401,1.012668918582605,1.0102394057068764,1.011278622175587
2016-01-17,2368693.0,0.023171043175146032,2343154.0,0.02292121541289484,1054882.0,0.09045487168977454,1253298.0,0.1074688067281943,4368,0.025780101869175426,3211,0.01895144393359027,4711847.0,0.04609225858804088,2308180.0,0.19792367841796882,7579,0.0447315458027657,1.0098135503004977,1.0098135503004977,1.0140354789594415,1.0105932323220375,1.0116879754669368
2016-09-04,1555472.0,0.0180721626835759,1574922.0,0.01829814139884403,893336.0,0.07867171772812842,861752.0,0.07589026983760885,3259,0.02094324951320922,3288,0.0211296116598441,3130394.0,0.03637030408241993,1755088.0,0.15456198756573727,6547,0.04207286117305332,1.0160715664334912,1.0160715664334912,1.0231583831307995,1.0186387876266136,1.0189771410769295
2015-09-13,4546891.0,0.046881116917060144,1380075.0,0.014229383864559712,2056936.0,0.17797745560289074,791627.0,0.06849593728076596,6137,0.04173694232861806,3021,0.02054542981501632,5926966.0,0.06111050078161986,2848563.0,0.24647339288365672,9158,0.062282372143634385,1.0045534984686064,1.0045534984686064,1.0066068201036589,1.0047272576372936,1.0058376441001964
2016-06-19,3077332.0,0.035567656166455866,636095.0,0.007351955606090518,1538811.0,0.13283633149558155,442903.0,0.03823316166078066,4393,0.02886599292970444,1699,0.01116397040463643,3713427.0,0.042919611772546384,1981714.0,0.17106949315636222,6092,0.04002996333434087,1.014918727197679,1.014918727197679,1.0223020471921773,1.0168617891470735,1.0178473797472103
2015-07-05,5617941.0,0.056021397167577085,1685061.0,0.01680321518730699,1690172.0,0.15661788716727645,874819.0,0.08106411858307297,5454,0.039753925098765255,2984,0.021750222312929137,7303002.0,0.07282461235488408,2564991.0,0.23768200575034942,8438,0.061504147411694396,1.0047552107494582,1.0047552107494582,1.0059211327189024,1.0048166076026805,1.0053601100270193
2015-09-27,2910952.0,0.0305839527902901,1166237.0,0.012253083304118223,1171666.0,0.10487044584166368,684866.0,0.06129921220023184,4521,0.030608099874074174,2254,0.015260043600124572,4077189.0,0.04283703609440832,1856532.0,0.1661696580418955,6775,0.04586814347419875,1.0048767009994755,1.0048767009994755,1.007068531107328,1.0051593432723023,1.0059978646969967
2016-08-07,1452160.0,0.014577063832865757,2500356.0,0.025099058655305814,850192.0,0.07220679704892069,1407727.0,0.11955823836178885,2508,0.015808682168588124,3193,0.020126444244139504,3952516.0,0.03967612248817157,2257919.0,0.19176503541070955,5701,0.03593512641272763,1.016036731805054,1.016036731805054,1.023428145401341,1.017800033690354,1.0190189478098195
2015-06-21,2013763.0,0.01959577126034769,2847518.0,0.02770897637295091,1101885.0,0.09789401076662207,1316563.0,0.11696650058484892,2573,0.01892370942949392,4785,0.035192362852751034,4861281.0,0.0473047476332986,2418448.0,0.214860511351471,7358,0.05411607228224495,1.00239849292926,1.00239849292926,1.0040685790269415,1.002450884412404,1.0034877277345806
2016-03-20,2838246.0,0.030211750045005006,883761.0,0.009407206574597012,1505112.0,0.12482806317505288,579084.0,0.048026946921998055,4170,0.024946159368269917,2289,0.013693467336683416,3722007.0,0.03961895661960202,2084196.0,0.17285501009705093,6459,0.038639626704953335,1.0103734849750758,1.0103734849750758,1.016589174782422,1.012339546721302,1.0129020302564504
2015-12-06,12380694.0,0.10929399480907344,1253089.0,0.011061989147079074,4004279.0,0.3223189603635672,741174.0,0.05965978722474297,10875,0.06886703437969008,2303,0.014583979786338047,13633783.0,0.12035598395615252,4745453.0,0.3819787475883102,13178,0.08345101416602813,1.001000059338513,1.001000059338513,1.008313347379135,1.003356513359136,1.006788854803582
2015-10-18,1831197.0,0.01973463532135,1208024.0,0.013018759368565213,824524.0,0.0752917206721031,717494.0,0.06551823577228794,3892,0.025864245936283045,2344,0.015577027871183828,3039221.0,0.03275339468991521,1542018.0,0.14080995644439104,6236,0.04144127380746687,1.0038172990265024,1.0038172990265024,1.0061156252909986,1.0039783091033405,1.0053379532343873
2016-04-10,889937.0,0.011463922780454164,920368.0,0.011855926522440394,525466.0,0.0487476471128486,589686.0,0.05470535683638378,2711,0.017444067665737948,2643,0.017006518200127402,1810305.0,0.02331984930289456,1115152.0,0.10345300394923237,5354,0.03445058586586535,1.011358011786087,1.011358011786087,1.0175114842457613,1.0125854756599812,1.0146030211665298
2016-10-30,1328556.0,0.011395349359822792,2031651.0,0.017425966931189453,922401.0,0.0724147002624245,1114550.0,0.08749969284235948,1702,0.009909348672834295,3275,0.01906763625354425,3360207.0,0.028821316291012245,2036951.0,0.15991439310478398,4977,0.028976984926378548,1.018851446578262,1.018851446578262,1.0259580539544393,1.0200690004654573,1.0213925901968632
2016-01-31,2368850.0,0.024093474442360176,1546545.0,0.015729844621423864,1052858.0,0.08867867794517352,955937.0,0.0805153490393532,3931,0.02308740441426944,2646,0.015540389743107844,3915395.0,0.03982331906378404,2008795.0,0.16919402698452674,6577,0.038627794157377285,1.010126889015277,1.010126889015277,1.0148858459069101,1.010782856150939,1.0126057490772333
2016-05-22,1274259.0,0.01667106929805475,837638.0,0.010958777724688612,757755.0,0.06896930547116169,557209.0,0.05071601999627919,2331,0.015601574212893553,2180,0.014590918826301138,2111897.0,0.027629847022743362,1314964.0,0.11968532546744087,4511,0.03019249303919469,1.0097598449769678,1.0097598449769678,1.0196911409817875,1.0111314822413027,1.0154747596138374
2015-09-20,6529093.0,0.06981814444964084,1385723.0,0.014818077883281744,2068908.0,0.18856575376975107,809050.0,0.0737389594353239,8057,0.05429062363127927,2871,0.01934570937636872,7914816.0,0.08463622233292258,2877958.0,0.262304713205075,10928,0.07363633300764799,1.0042100866970178,1.0042100866970178,1.0067658036032754,1.0043100443859314,1.005796481428683
