"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2"
53,"Kentucky",4,2016,5,2,125,0.459623790847191,0.603756826168424,0.715317162280129,-0.377416793602551,1.09273395588268,"Trump",91906,0.206357831206273,1161,0.00260680958838903,42089,0.0945030221926839,122,0.000273928311613662,48914,0.109827290444842,2365,0.00531016768005173,97899,0.219813998185786,5010,0.0112490232883971,4438229,9.01260390124079e-07,0.208964640794662,0.0947769505042975,0.115137458124893,0.231063021474183,93067,42211,51279,102909,1.12143443357338,1.13603712274194
54,"Kentucky",2,2016,5,2,125,0.46248933563631,0.604767152089301,0.731007623092327,-0.36099160358188,1.09199922667421,"Trump",93983,0.212675489015813,1260,0.00285127221050535,38416,0.0869321216180744,124,0.000280601392144971,48121,0.108893706382324,2194,0.00496483430940377,96412,0.218172108221621,4703,0.0106424866714339,4438229,4.50630195062039e-07,0.215526761226319,0.0872127230102193,0.113858540691728,0.228814594893055,95243,38540,50315,101115,1.09273395588268,1.12143443357338
55,"Kentucky",1,2016,5,2,125,0.451558910157699,0.604801630792213,0.735008301020411,-0.351476381480586,1.086484682501,"Trump",91727,0.20838520605207,1213,0.00275569085374165,40958,0.0930482984233723,105,0.000238538779590168,48986,0.111286291971466,2323,0.00527738652369485,98837,0.224537689127175,4962,0.0112726611840611,4438229,2.2531509753102e-07,0.211140896905811,0.0932868372029624,0.116563678495161,0.235810350311236,92940,41063,51309,103799,1.09199922667421,1.09273395588268
56,"Kentucky",2,2016,5,2,125,0.480239834136482,0.596863405930593,0.739453112265936,-0.356224897825446,1.09567801009138,"Trump",96353,0.212178466593117,1325,0.00291777597205982,40208,0.0885418387053443,109,0.000240028362984544,50649,0.111533913365176,2247,0.0049481076295988,101770,0.224107215604927,4686,0.0103190175132621,4438229,4.50630195062039e-07,0.215096242565177,0.0887818670683288,0.116482020994774,0.234426233118189,97678,40317,52896,106456,1.086484682501,1.09199922667421
58,"Kentucky",2,2016,6,2,126,0.508519143772601,0.600161022229095,0.762853283471086,-0.338971209658487,1.10182449312957,"Trump",107096,0.234987964919441,1353,0.00296872634399047,41279,0.0905735807491371,127,0.000278660935466955,51542,0.113092456187699,2499,0.00548325730497574,102545,0.225002249035109,4639,0.0101788037766236,4438229,4.50630195062039e-07,0.237956691263431,0.0908522416846041,0.118575713492675,0.235181052811733,108449,41406,54041,107184,1.09567801009138,1.086484682501
60,"Kentucky",7,2016,6,2,126,0.489991615437723,0.549532309391588,0.687073350451798,-0.333113253833699,1.0201866042855,"Trump",96102,0.192247832505811,1033,0.00206647115542344,35738,0.0714923002444557,98,0.000196044698191188,47919,0.0958598560471788,2164,0.00432898700903806,95755,0.191553674237726,4494,0.00899004973133874,4438229,1.57720568271714e-06,0.194314303661235,0.0716883449426469,0.100188843056217,0.200543723969065,97135,35836,50083,100249,1.10182449312957,1.09567801009138
61,"Kentucky",4,2016,6,2,126,0.484925601851766,0.540784731706769,0.664571780881675,-0.355070421155593,1.01964220203727,"Trump",90111,0.178120533940569,1092,0.00215853362034714,31053,0.0613818173192673,85,0.000168017726858523,46348,0.0916151247581039,2200,0.00434869410692648,93011,0.183852903445154,4223,0.00834751600615933,4438229,9.01260390124079e-07,0.180279067560916,0.0615498350461258,0.0959638188650304,0.192200419451313,91203,31138,48548,97234,1.0201866042855,1.10182449312957
62,"Kentucky",3,2016,7,3,127,0.509044731367194,0.542648769611693,0.692272976443812,-0.344491744964956,1.03676472140877,"Trump",96286,0.189290460575464,1273,0.00250261467204542,29969,0.0589166214505336,83,0.000163171262984894,47563,0.0935049973656688,2380,0.00467888681812105,95056,0.186872380413158,4552,0.0089488625193643,4438229,6.75945292593059e-07,0.191793075247509,0.0590797927135184,0.0981838841837898,0.195821242932522,97559,30052,49943,99608,1.01964220203727,1.0201866042855
63,"Kentucky",6,2016,7,3,127,0.495057284921223,0.589501178641265,0.722895052524274,-0.354053550901157,1.07694860342543,"Trump",102382,0.219253592943247,1490,0.00319087196465627,33174,0.0710429439969847,77,0.000164897410254049,48859,0.104632760618215,2456,0.00525958492966162,96825,0.207353139582446,4620,0.00989384461524295,4438229,1.35189058518612e-06,0.222444464907904,0.0712078414072388,0.109892345547877,0.217246984197688,103872,33251,51315,101445,1.03676472140877,1.01964220203727
64,"Kentucky",5,2016,7,3,127,0.499143331586249,0.594767480639115,0.738656874368529,-0.342067866704811,1.08072474107334,"Trump",104662,0.225039885439557,1519,0.00326609071088539,32998,0.0709509290834734,108,0.000232217114401331,49157,0.105695339746539,2438,0.00524208634176339,96800,0.208135339574527,4518,0.0097144159524557,4438229,1.1265754876551e-06,0.228305976150442,0.0711831461978748,0.110937426088303,0.217849755526982,106181,33106,51595,101318,1.07694860342543,1.03676472140877
