state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
13,IN367SP00,Z9ISQ6EMUH5H,20140612,N,2,001,01,W,09A,001,15,12,I
13,IN372SP00,Z9ISQ6EMRM5G,20140228,N,1,001,01,W,11A,001,14,62,I
13,IN382SP00,Z9ISQ6EM0HSC,20140531,N,2,000,01,W,370,001,20,41, 
13,IN389SP00,Z9ISQ6EMWE5P,20140322,N,1,001,01,B,13C,001,25,11,I
14,IA0150100,8E0B0OR972 N,20140717,N,3,001,00,U,220,001,20,11,I
14,IA0420000,1K2MJ0SCTD1A,20140427,N,2,002,01,W,290,002,20,15,I
14,IA0520400,8E0BRABM72 N,20140331,N,1,000,00,U,290,001,20,52, 
14,IA0570100,2W1Z05O2SD1A,20140303,N,1,000,00,U,290,001,20,12, 
14,IA0770300,2W1Z0UOVI4XA,20140907,N,3,001,01,W,13B,001,13,12,I
14,IA0780100,2W1Z0U72IYK ,20140131,N,1,001,01,W,13B,001,22,32,I
14,IA0820100,2W1Z0U73IG24,20140725,N,3,001,01,W,13B,001,13,12,I
14,IA0820100,2W1Z0U7ZI6KW,20141216,N,4,002,01,W,13B,002,20,33,I
14,IA0850100,8E0BAORV72 N,20140505,N,2,001,01,A,120,001,13,14,I
14,IA0850400,8E0BREED72 N,20140223,N,1,002,00,U,290,003,22,15,I
14,IA0940100,8E0BKFMQ72 N,20140514,N,2,001,00,U,13C,001,20,12,I
15,KS0070100,3I1X2 MQ-F39,20140602,N,2,001,00,U,290,001,13,43,I
15,KS0160100,W43ZLR39G0W5,20141111,N,4,001,01,W,13C,001,20,12,I
15,KS0190100,QI4MQ1KCFX I,20140401,N,2,001,00,U,23H,001,20,23,I
15,KS0210100,8E0BYMZH72 N,20140619,N,2,000,01,U,290,001,04,25, 
15,KS0220100,8ECBSVQR7 8N,20140505,N,2,001,00,U,23H,001,25,11,I
15,KS0230100,08-ML07084J8,20140112,N,1,001,01,U,220,001,20,45,I
15,KS0230100,08-ML0709X2N,20140214,N,1,001,01,U,23F,001,18,32,I
15,KS0230100,08-ML070L7KN,20140308,N,1,002,05,M,13B,002,13,12,I
15,KS0230100,08-ML070UL28,20140409,N,2,000,01,U,23F,001,20,11, 
15,KS0230100,08-ML070IGJO,20140328,N,1,001,01,W,240,001,18,32,I
15,KS0230100,08-ML070UX6O,20140413,N,2,000,01,I,290,001,20,32, 
15,KS0230100,08-ML070I6BI,20140417,N,2,001,01,W,23D,001,20,11,I
15,KS0230100,08-ML070I4TO,20140428,N,2,001,01,B,13C,001,20,11,I
15,KS0230100,08-ML070I2XR,20140418,N,2,000,01,W,26A,001,08,11, 
15,KS0230100,08-ML070ZNXN,20140622,N,2,002,03,M,13B,002,25,12,I
15,KS0230100,08-ML070ZG8I,20140625,N,2,001,01,U,290,001,20,43,I
15,KS0230100,08-ML070ZX2 ,20140708,N,3,001,01,U,290,001,20,44,I
15,KS0230100,08-ML0706CKR,20140727,N,3,001,01,W,290,001,13,52,I
15,KS0260000,W434RF39G0W5,20140126,N,1,002,02,M,13A,002,15,12,I
15,KS0260000,3I42X2MQ-F39,20141024,N,4,001,02,M,13A,001,15,12,I
15,KS0260100,71-N91R6PU72,20140728,N,3,001,00,U,23G,001,05,33,I
15,KS0290000,H31JFZ54JOSC,20140803,N,3,001,01,B,13B,001,15,23,I
15,KS0290100,3I2XX24Q-F39,20140922,N,3,000,01,W,23C,001,08,11, 
15,KS0300100,2W1Z0U72U2X4,20140324,N,1,001,01,W,13A,001,20,32,I
15,KS0310100,8E0D0OSU72 N,20140714,N,3,003,01,W,13A,001,20,12,I
15,KS0370000,2W1Z0KO2GD1A,20140319,N,1,001,01,W,13C,001,20,12,I
15,KS0430000,8E4AE PU728N,20140420,N,2,002,01,W,220,002,20,11,I
15,KS0440000,2W1U0UHNID1A,20140901,N,3,001,02,W,13C,001,03,41,I
15,KS0460200,2W1Z0HXOTD1A,20140411,N,2,001,00,U,290,002,20,21,I
15,KS0460600,5F1N-0AJUW5S,20141012,F,4,001,01,W,13B,001,11,12,I
15,KS0462000,8E0 SCPU72 N,20140628,N,2,000,01,U,290,001,25,21, 
15,KS0470000,3A1P1VFL6X I,20140316,N,1,001,02,M,13A,001,13,12,I
15,KS0520100,8E0BYM3972 N,20140515,N,2,002,02,W,13C,002,20,12,I
15,KS0520100,3I9 2KMQ-F39,20140515,N,2,002,01,W,13C,002,22,12,I
15,KS0520100, 51M1VSL6X I,20140518,N,2,002,04,M,13B,002,08,12,I
15,KS0520100,8E01KFSD72 N,20141011,N,4,001,01,B,13C,001,20,11,I
15,KS0560000,OD4FN9POSCTD,20140803,N,3,001,02,W,11B,001,15,32,I
15,KS0570100,0Q12M5T-W00J,20140517,N,2,000,00,U,290,001,25,44, 
15,KS0610100,CN43K3BRVSCT,20140907,N,3,001,01,B,13B,001,20,11,I
15,KS0610200,EZ1H5ZTD1AEM,20140317,N,1,002,01,W,13A,002,11,12,I
15,KS0780100,2W1Z0U728CKI,20140109,N,1,001,01,U,13B,001,13,12,I
15,KS0780100,2W1Z0U7274TX,20140429,N,2,001,00,U,290,001,20,12,I
15,KS0780100,2W1Z0U73I608,20140619,N,2,000,00,U,290,001,24,32, 
15,KS0780100,2W1Z0U73SNKX,20140711,N,3,001,00,U,290,001,18,32,I
15,KS0810000,TJ-W50W9KCTD,20140520,N,2,001,01,U,13B,001,13,12,I
15,KS0850000,2W1Z0U738G 8,20140517,N,2,001,02,W,220,001,20,11,I
15,KS0850000,2W1Z0U73SL6D,20140806,N,3,001,01,W,13C,001,05,11,I
15,KS0850000,2W1Z0U73S2BO,20140809,N,3,001,01,U,13B,001,18,12,I
15,KS0850100,2W1Z0U73Z6KR,20140523,N,2,000,00,U,290,001,04,26, 
15,KS0850100,2W1Z0U7Z84 O,20140622,N,2,001,01,W,13B,001,13,12,I
15,KS0870200,2W1Z0-PZSD1A,20140529,N,2,003,03,W,13B,003,22,11,I
15,KS0870300,8ECBRA5D- 8N,20140204,N,1,002,01,W,13C,002,20,43,I
15,KS0870300,8ECVREQQ1 8N,20140212,N,1,000,00,U,290,001,24,32, 
15,KS0870300,8ECBKARDS 8N,20140321,N,1,000,00,U,290,001,22,21, 
15,KS0870300,8ECBAWQ9Q 8N,20140427,N,2,001,02,W,13C,001,20,12,I
15,KS0870300,8ECB-WZVG 8N,20140714,N,3,001,01,W,290,001,20,12,I
15,KS0870300,8ECVKYECV 8N,20140727,N,3,001,01,W,13C,001,07,43,I
15,KS0870300,8ECB-BR9T 8N,20140730,N,3,001,02,B,13B,001,20,41,I
15,KS0870300,8ECBSFRLQ 8N,20140819,N,3,001,01,B,13C,001,13,11,I
15,KS0870300,8ECB0YM96 8N,20140920,N,3,001,00,U,290,001,20,33,I
15,KS0870300,8ECVKA5MP 8N,20140923,N,3,001,01,W,13C,001,11,12,I
15,KS0870300,8ECBSBZMV 8N,20140905,N,3,001,01,B,13C,001,20,41,I
15,KS0870300,8ECVAYBMP 8N,20141212,N,4,001,00,U,290,001,20,12,I
15,KS0870300,8ECBEYTLP 8N,20141216,N,4,001,01,W,13C,001,13,12,I
15,KS0870300,8ECBEYERG 8N,20141214,N,4,000,00,U,290,001,10,12, 
15,KS0871100,LI4MJ1HL6X I,20140910,N,3,001,01,W,13B,001,13,12,I
15,KS0872400,2W1Z05HZTD1A,20140912,N,3,001,01,W,13C,001,22,12,I
